unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.60E+12,2020-08-13 00:00,BTC/USDT,11564.34,11792.96,11270.36,11780,70132.4915,809611114.2,1243382
1.60E+12,2020-08-12 00:00,BTC/USDT,11392.09,11617.52,11150,11564.33,64909.61364,743303608.1,1104096
1.60E+12,2020-08-11 00:00,BTC/USDT,11892.9,11935,11125,11392.08,90748.28463,1049615697,1343979
1.60E+12,2020-08-10 00:00,BTC/USDT,11681.69,12067.35,11450,11892.92,84952.33789,1009169063,1340835
1.60E+12,2020-08-09 00:00,BTC/USDT,11761.02,11797.11,11521.97,11681.68,41493.06734,483708602.9,853386
1.60E+12,2020-08-08 00:00,BTC/USDT,11594.36,11808.27,11512,11761.41,41858.16104,489087264.4,779318
1.60E+12,2020-08-07 00:00,BTC/USDT,11762.47,11909.94,11322,11594.23,65755.92602,767005529.3,940045
1.60E+12,2020-08-06 00:00,BTC/USDT,11744.91,11900,11562.5,11762.46,63529.08502,746479211.7,919918
1.60E+12,2020-08-05 00:00,BTC/USDT,11191.99,11780.93,11093,11744.91,74970.25685,861433645.4,964637
1.60E+12,2020-08-04 00:00,BTC/USDT,11219.68,11414.98,11000,11191.97,58629.11371,658084242.7,863692
1.60E+12,2020-08-03 00:00,BTC/USDT,11071.36,11473,10936,11219.81,56931.84148,641127593.3,919185
1.60E+12,2020-08-02 00:00,BTC/USDT,11801.17,12123.46,10518.5,11071.35,97553.0776,1105757336,1459900
1.60E+12,2020-08-01 00:00,BTC/USDT,11335.46,11861,11220,11801.17,85087.48513,987817017.3,1174252
1.60E+12,2020-07-31 00:00,BTC/USDT,11099.79,11444,10960,11335.46,70063.66097,786344325.9,971584
1.60E+12,2020-07-30 00:00,BTC/USDT,11100.52,11170,10831,11099.61,60794.82646,669779541.9,879960
1.60E+12,2020-07-29 00:00,BTC/USDT,10906.27,11342.82,10812,11100.53,76838.09423,853242253.6,1127302
1.60E+12,2020-07-28 00:00,BTC/USDT,11029.96,11242.23,10565,10906.27,97267.73419,1065375500,1475636
1.60E+12,2020-07-27 00:00,BTC/USDT,9931.54,11394.86,9917.21,11029.96,150188.9331,1580355372,1901088
1.60E+12,2020-07-26 00:00,BTC/USDT,9700.42,10111,9650,9931.54,65279.26932,644607634.5,945611
1.60E+12,2020-07-25 00:00,BTC/USDT,9538.1,9732.9,9513,9700.42,40679.54542,391431695.7,675222
1.60E+12,2020-07-24 00:00,BTC/USDT,9603.27,9637,9463.44,9537.8,43931.13621,419240263.5,677725
1.60E+12,2020-07-23 00:00,BTC/USDT,9518.16,9664,9440.33,9603.27,51856.2335,494282948.7,735371
1.60E+12,2020-07-22 00:00,BTC/USDT,9390,9544,9261,9518.16,48815.00411,457776105.6,663029
1.60E+12,2020-07-21 00:00,BTC/USDT,9160.78,9437.73,9152.8,9390,60413.58249,563360524.8,782959
1.60E+12,2020-07-20 00:00,BTC/USDT,9208.99,9221.52,9131,9160.78,35458.76408,325297289.3,557096
1.60E+12,2020-07-19 00:00,BTC/USDT,9170.3,9232.27,9101.35,9208.99,26052.01942,238521988,440449
1.60E+12,2020-07-18 00:00,BTC/USDT,9154.31,9219.3,9121.1,9170.28,22554.54146,206628105.4,430377
1.59E+12,2020-07-17 00:00,BTC/USDT,9133.72,9186.83,9089.81,9154.32,28054.35874,256360345.6,470991
1.59E+12,2020-07-16 00:00,BTC/USDT,9197.6,9226.15,9047.25,9133.72,43375.57119,395883667,681807
1.59E+12,2020-07-15 00:00,BTC/USDT,9255.85,9276.49,9160.57,9197.6,39053.57967,360201683.5,554780
1.59E+12,2020-07-14 00:00,BTC/USDT,9242.61,9279.54,9113,9255.85,45772.55251,421789086.5,613139
1.59E+12,2020-07-13 00:00,BTC/USDT,9303.31,9343.82,9200.89,9242.62,42740.06912,396614086.8,642552
1.59E+12,2020-07-12 00:00,BTC/USDT,9234.02,9345,9157.5,9302.75,30872.70229,285591381.5,484875
1.59E+12,2020-07-11 00:00,BTC/USDT,9288.34,9299.28,9178.25,9234.03,22561.366,208410250.5,413452
1.59E+12,2020-07-10 00:00,BTC/USDT,9232.42,9317.48,9125,9288.34,38295.49401,352238898.8,525484
1.59E+12,2020-07-09 00:00,BTC/USDT,9436.06,9440.79,9160,9232.43,48044.45065,447640493.5,575491
1.59E+12,2020-07-08 00:00,BTC/USDT,9257.4,9470,9231,9436.06,56140.51778,525344876.7,652605
1.59E+12,2020-07-07 00:00,BTC/USDT,9342.47,9379.42,9203,9257.39,34587.33668,320576525.4,433481
1.59E+12,2020-07-06 00:00,BTC/USDT,9069.41,9375,9055.92,9344.2,54463.13228,502548376.2,533540
1.59E+12,2020-07-05 00:00,BTC/USDT,9135,9145.24,8893.03,9069.41,34073.65363,308410443.7,384500
1.59E+12,2020-07-04 00:00,BTC/USDT,9057.79,9190,9040.04,9135.46,26441.96848,240576054.9,335225
1.59E+12,2020-07-03 00:00,BTC/USDT,9086.54,9125,9037.47,9058.26,28943.42018,263123750.5,343189
1.59E+12,2020-07-02 00:00,BTC/USDT,9231.99,9261.96,8940,9086.54,45725.16808,417724468.9,470292
